Name,Interest Received,Last Activity Date,Last Activity Type,Status,Move In Preference,Max Rent,Bed/Bath Preference,Pet Preference,Monthly Income,Credit Score
"Martinez, Sofia",10/01/2025 at 09:15 AM,11/15/2025,Email Sent,Active,11/15/2025,2600.00,2/1.00,Dogs,7500.00,720 to 799
"Johnson, Michael",10/02/2025 at 10:30 AM,11/16/2025,Email Received,Active,12/01/2025,2800.00,2/1.00,,9200.00,800
"Kim, Jennifer",10/02/2025 at 02:45 PM,11/14/2025,Email Sent,Active,11/20/2025,2400.00,1/1.00,Cats,6800.00,660 to 719
"Williams, David",10/03/2025 at 08:22 AM,11/17/2025,Email Sent,Active,-/-,,,,8000.00,580 to 619
"Chen, Lisa",10/03/2025 at 11:40 AM,11/15/2025,Email Sent,Active,12/15/2025,3000.00,2/2.00,,12500.00,740 to 799
"Brown, James",10/04/2025 at 03:15 PM,11/18/2025,Email Sent,Active,11/01/2025,2500.00,2/1.00,Dogs,8500.00,720 to 799
"Garcia, Maria",10/04/2025 at 04:50 PM,11/16/2025,Email Received,Active,-/-,,,Other,5500.00,620 to 659
"Lee, Christopher",10/05/2025 at 09:30 AM,11/17/2025,Email Sent,Active,01/01/2026,2700.00,2/1.00,,10000.00,803
"Patel, Priya",10/05/2025 at 01:20 PM,11/15/2025,Email Sent,Active,12/01/2025,2300.00,1/1.00,Cats,7000.00,660 to 719
"Thompson, Sarah",10/06/2025 at 10:45 AM,11/18/2025,Email Sent,Active,-/-,,,,6500.00,720 to 799
"Hernandez, Carlos",10/06/2025 at 02:30 PM,11/16/2025,Email Sent,Active,11/25/2025,2900.00,2/1.00,Dogs,11000.00,750
"White, Amanda",10/07/2025 at 08:15 AM,11/17/2025,Email Received,Active,12/10/2025,2400.00,2/-,,8800.00,680
"Tran, Kevin",10/07/2025 at 11:55 AM,11/15/2025,Email Sent,Active,-/-,,,,9500.00,720 to 799
"Jackson, Michelle",10/08/2025 at 03:40 PM,11/18/2025,Email Sent,Active,11/15/2025,2600.00,2/1.00,Other,7200.00,620 to 659
"Robinson, Tyler",10/08/2025 at 05:25 PM,11/16/2025,Email Sent,Active,12/01/2025,2500.00,2/1.00,,8300.00,660 to 719
"Nguyen, Emily",10/09/2025 at 09:10 AM,11/17/2025,Email Sent,Active,-/-,,,Dogs,150000.00,830
"Clark, Daniel",10/09/2025 at 12:35 PM,11/15/2025,Email Received,Active,11/20/2025,2800.00,2/1.50,,10500.00,740 to 799
"Lopez, Jessica",10/10/2025 at 02:20 PM,11/18/2025,Email Sent,Active,12/15/2025,2200.00,1/1.00,Cats,6000.00,580 to 619
"Lewis, Brandon",10/10/2025 at 04:45 PM,11/16/2025,Email Sent,Active,-/-,,,,7800.00,720 to 799
"Walker, Rachel",10/11/2025 at 08:30 AM,11/17/2025,Email Sent,Active,11/30/2025,2700.00,2/1.00,,9000.00,660 to 719
"Hall, Andrew",10/11/2025 at 11:15 AM,11/15/2025,Email Sent,Active,12/01/2025,3100.00,2/2.00,Dogs,13000.00,800
"Young, Stephanie",10/12/2025 at 01:50 PM,11/18/2025,Email Received,Active,-/-,,,Other,5800.00,620 to 659
"Allen, Matthew",10/12/2025 at 03:35 PM,11/16/2025,Email Sent,Active,11/15/2025,2500.00,2/1.00,,8200.00,720 to 799
"King, Nicole",10/13/2025 at 09:40 AM,11/17/2025,Email Sent,Active,12/10/2025,2600.00,2/1.00,Cats,7600.00,660 to 719
"Wright, Joshua",10/13/2025 at 02:25 PM,11/15/2025,Email Sent,Active,-/-,,,,11500.00,740 to 799
"Scott, Lauren",10/14/2025 at 10:10 AM,11/18/2025,Email Sent,Active,01/15/2026,2400.00,1/1.00,,6500.00,580 to 619
